id_pelicula,id_actor
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
6,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
22,18
18,19
19,20
20,21
4,22
21,23
22,24
23,25
24,26
25,27
26,28
27,29
28,30
29,31
30,32
31,33
32,34
33,35
34,36
35,37
36,38
37,39
38,40
39,41
40,42
41,43
42,44
43,45
44,46
45,47
46,48
47,49
48,50
49,51
50,52
51,53
52,54
53,55
54,56
55,57
56,58
57,59
58,60
59,61
60,62
61,63
62,64
63,65
64,66
65,67
66,68
67,69
68,70
69,71
30,72
70,73
71,74
72,75
73,76
74,77
75,78
76,79
77,80
78,81
79,82
80,83
81,84
82,85
83,86
84,87
85,88
86,89
87,90
39,91
88,92
89,93
90,94
91,95
92,96
93,97
84,98
94,99
95,100
65,101
